Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748225405.257,50.112979888916,12949.962890625,-0.126535001753847,3.0979717592669E-5
3748225416.2795,50.1119537353516,12999.8129882812,-0.125897743222578,3.7831288901943E-5
3748225428.315,50.1127052307129,13049.990234375,-0.125810100631597,4.70524696310955E-5
3748225439.295,50.1124839782715,13100.04296875,-0.126879297659798,2.8692240699958E-5
3748225450.287,50.1120357513428,13150.0986328125,-0.126322343441189,2.99041866474072E-5
3748225462.1985,50.1126461029053,13200.0366210938,-0.126172067569947,2.76037582975079E-5
3748225473.236,50.1131057739258,13250.2309570312,-0.126522864172171,3.71834554090819E-5
3748225484.201,50.1119232177734,13300.166015625,-0.126492094799367,2.42532526852545E-5
3748225495.184,50.1127777099609,13350.29296875,-0.126155628284053,3.17684135821822E-5
3748225519.837,50.1128768920898,13400.037109375,,
3748225530.6755,50.1100292205811,13399.9702148438,-0.119783582768275,3.89801633437334E-5
3748225541.1745,50.1129207611084,13450.232421875,-0.125574802773473,3.27471725369872E-5
3748225553.1675,50.1151142120361,13500.0166015625,-0.12532240422892,2.05430064299951E-5
3748225564.162,50.114767074585,13550.1806640625,-0.125160612054381,4.47790294284505E-5
3748225575.2655,50.1137924194336,13599.8901367188,-0.1250906054781,3.20859639368434E-5
3748225586.09,50.1150054931641,13649.9521484375,-0.124214477378972,6.14324548110729E-5
3748225597.1205,50.1137504577637,13700.1801757813,-0.124374045455671,4.39439657145984E-5
3748225609.087,50.1145038604736,13749.9482421875,-0.12381479537864,4.15685116774128E-5
3748225621.0925,50.1140613555908,13799.9321289062,-0.122888509775153,5.35806174157502E-5
3748225632.0995,50.1135120391846,13849.9970703125,-0.123475625356623,4.85679517996177E-5
3748225644.146,50.1134052276611,13899.9858398438,-0.12378300847356,4.13882239638506E-5
3748225656.011,50.1124534606934,13950.1401367188,-0.123518965266503,3.89837878231668E-5
3748225667.133,50.1126823425293,13999.9916992187,-0.123682271769241,3.66009527999592E-5
3748225678.1105,50.1153335571289,14049.8793945313,-0.123378603986928,4.43583095616193E-5
3748225689.0625,50.1150417327881,14100.3090820312,-0.123946793030242,3.9699370481161E-5
3748225700.0795,50.112340927124,14149.9580078125,-0.123483869634878,4.15023380915721E-5
3748225711.036,50.113452911377,14200.0087890625,-0.123151774952582,2.84497984719207E-5
3748225722.0555,50.112491607666,14250.1064453125,-0.123654968079282,2.80623675217361E-5
3748225734.019,50.1120719909668,14300.0073242187,-0.123271194029006,2.84353933578393E-5
3748225744.985,50.1117496490479,14349.8388671875,-0.123163042096289,3.55795275479924E-5
3748225757.024,50.1112422943115,14400.1391601562,-0.122793490163123,3.35588835870539E-5
3748225769.005,50.1110744476318,14449.9609375,-0.122075280894294,2.68831023106947E-5
3748225780.9715,50.1116104125977,14499.9130859375,-0.122099808986619,4.10962891724925E-5
3748225791.962,50.1122760772705,14550.4384765625,-0.123217209335793,4.17959840944198E-5
3748225803.991,50.111307144165,14600.0883789062,-0.122739774272317,3.9951968771879E-5
3748225816.0135,50.11110496521,14649.9760742187,-0.121792092782632,4.27508708409825E-5
3748225826.9695,50.1110687255859,14700.1928710938,-0.122961725412702,3.36952051125829E-5
3748225837.9275,50.1116352081299,14749.8403320313,-0.122336654736102,2.85113140023709E-5
3748225849.9815,50.1102809906006,14800.0639648438,-0.122031273847942,2.66374499412812E-5
3748225860.98,50.1108646392822,14849.8588867188,-0.121992159754634,2.58851276104401E-5
3748225872.9005,50.110990524292,14900.0893554687,-0.122033167444116,2.11870396242018E-5
3748225884.933,50.1100044250488,14950.2465820313,-0.121979540922868,2.58049745692775E-5
3748225896.8945,50.1110076904297,15000.0043945313,-0.121940431374792,1.34605092869298E-5
3748225907.9025,50.1112937927246,15050.0087890625,-0.121904369897604,3.27252923760261E-5
3748225919.9145,50.1104965209961,15100.1220703125,-0.121404849408443,2.72618344133034E-5
3748225931.8415,50.110954284668,15150.0302734375,-0.121204283200302,1.69215396040123E-5
3748225942.9515,50.1111755371094,15199.9306640625,-0.121630717117766,3.12693473599431E-5
3748225953.8875,50.1106262207031,15250.05859375,-0.121447298104957,3.57757750675462E-5
3748225965.943,50.1104698181152,15300.0053710938,-0.12088585615259,2.34634639632385E-5
3748225977.8595,50.1102676391602,15349.9013671875,-0.120043948311844,2.41402186989461E-5
3748225988.89,50.1104354858398,15400.2309570313,-0.121007197826205,3.19223421751197E-5
3748226000.865,50.1100406646729,15450.171875,-0.120357357551251,2.84514738954955E-5
3748226012.818,50.1106262207031,15499.908203125,-0.119799393434386,3.63167429987924E-5
3748226024.837,50.1113719940186,15550.1396484375,-0.12008517151998,4.22264516117351E-5
3748226035.8115,50.1109790802002,15600.3608398438,-0.120531681951697,3.73783068881317E-5
